Run   obj.function   K1            K2            Kback         
1     8.230901E+04  5.000000E+01  5.000000E+01  5.000000E+01  
2     8.230840E+04  5.151931E+01  5.000000E+01  5.000000E+01  
3     8.231056E+04  5.000000E+01  5.151931E+01  5.000000E+01  
4     8.271201E+04  5.000000E+01  5.000000E+01  5.151931E+01  
5     1.519022E+04  5.797518E+01  3.361210E+01  2.505936E+00  
6     1.518936E+04  5.866911E+01  3.268063E+01  2.505936E+00  
7     1.519102E+04  5.734245E+01  3.451309E+01  2.505936E+00  
8     1.518920E+04  6.045184E+01  3.268063E+01  2.505936E+00  
9     1.519021E+04  5.866911E+01  3.367367E+01  2.505936E+00  
10    1.597103E+04  5.866911E+01  3.268063E+01  2.582082E+00  
11    2.099531E+03  4.378683E+01  8.019362E+00  7.726270E-01  
12    2.099944E+03  4.284796E+01  7.389148E+00  7.726912E-01  
13    2.099246E+03  4.469489E+01  8.689294E+00  7.725641E-01  
14    2.099295E+03  4.605299E+01  8.689294E+00  7.725641E-01  
15    2.098629E+03  4.469489E+01  8.953328E+00  7.725641E-01  
16    1.614326E+03  4.469489E+01  8.689294E+00  7.960393E-01  
17    5.914385E+00  3.705188E+01  4.543074E+00  9.860315E-01  
18    5.925308E+00  3.648536E+01  4.492477E+00  9.860434E-01  
19    5.903000E+00  3.758501E+01  4.597661E+00  9.860186E-01  
20    5.907164E+00  3.872707E+01  4.597661E+00  9.860186E-01  
21    5.844631E+00  3.758501E+01  4.737366E+00  9.860186E-01  
22    6.601028E+00  3.758501E+01  4.597661E+00  1.015980E+00  
23    1.671765E-02  3.378232E+01  4.838149E+00  1.000337E+00  
24    1.643442E-02  3.345070E+01  4.842002E+00  1.000334E+00  
25    1.698041E-02  3.409107E+01  4.834180E+00  1.000340E+00  
26    1.725384E-02  3.446714E+01  4.842002E+00  1.000334E+00  
27    1.711028E-02  3.345070E+01  4.989132E+00  1.000334E+00  
28    2.466107E+01  3.345070E+01  4.842002E+00  1.030730E+00  
29    4.739347E-03  1.883427E+01  5.102109E+00  9.997533E-01  
30    3.916551E-03  1.795372E+01  5.109870E+00  9.997449E-01  
31    5.641114E-03  1.975793E+01  5.092975E+00  9.997647E-01  
32    4.496871E-03  1.849926E+01  5.109870E+00  9.997449E-01  
33    4.636356E-03  1.795372E+01  5.265139E+00  9.997449E-01  
34    2.411509E+01  1.795372E+01  5.109870E+00  1.030123E+00  
35    1.298574E-03  1.766140E+01  5.028277E+00  1.000072E+00  
36    1.277088E-03  1.763578E+01  5.025666E+00  1.000073E+00  
37    1.319715E-03  1.768515E+01  5.030987E+00  1.000071E+00  
38    8.937166E-04  1.680772E+01  4.966415E+00  1.000013E+00  
39    6.904647E-04  1.655223E+01  5.010809E+00  1.000061E+00  
40    5.850501E-04  1.619796E+01  5.013140E+00  1.000000E+00  
41    5.263058E-04  1.603353E+01  5.017470E+00  1.000039E+00  
42    4.922208E-04  1.583561E+01  5.020686E+00  1.000004E+00  
43    4.754010E-04  1.573900E+01  5.022529E+00  1.000024E+00  
44    4.666478E-04  1.563663E+01  5.024358E+00  1.000007E+00  
45    5.470965E-04  1.611176E+01  5.024358E+00  1.000007E+00  
46    1.183204E-03  1.563663E+01  5.177029E+00  1.000007E+00  
47    2.454612E+01  1.563663E+01  5.024358E+00  1.030393E+00  
48    4.635590E-04  1.559645E+01  5.025268E+00  1.000016E+00  
49    4.634068E-04  1.559258E+01  5.025345E+00  1.000016E+00  
50    4.637072E-04  1.560006E+01  5.025196E+00  1.000016E+00  
51    4.634068E-04  1.559258E+01  5.025345E+00  1.000016E+00  
52    5.303791E-04  1.606638E+01  5.025345E+00  1.000016E+00  
53    1.219746E-03  1.559258E+01  5.178046E+00  1.000016E+00  
54    2.456258E+01  1.559258E+01  5.025345E+00  1.030402E+00  
55    6.280754E-04  1.464909E+01  5.041723E+00  9.999885E-01  
56    6.926651E-04  1.659683E+01  5.009020E+00  1.000043E+00  
57    6.707395E-04  1.578037E+01  4.940812E+00  1.000057E+00  
58    6.487379E-04  1.540702E+01  5.111324E+00  9.999741E-01  
59    6.328684E-04  1.531859E+01  5.062497E+00  9.999201E-01  
60    6.836855E-04  1.587147E+01  4.988465E+00  1.000111E+00  
61    4.634068E-04  1.559258E+01  5.025345E+00  1.000016E+00  
